Cím;Eredeti cím;Műfaj;Készítés éve;Gyártó országok;Rendező;Szereplők;Magyar korhatárbesorolások
001 - Az első bevetés;Stormbreaker;akció;2006;Nagy-Britannia/USA/Németország;Geoffrey Sax;Mickey Rourke/Alex Pettyfer/Ewan McGregor;II (2006, F/3949/E, 93 perc)
1001 éj rock & roll;Harum Scarum;zenés;1965;USA;Gene Nelson;Elvis Presley/Fran Jeffries/Mary Ann Mobley;II (2005, F/2406/J)
100 halálos lépés;100 Feet;horror;2008;USA;Eric Red;Bobby Cannavale/Ed Westwick/Famke Janssen;IV (2011, F/10940/J, RTL FILMKLUB, 105 perc)
100 millió évvel i. e.;100 Million BC;akció - fantasy;2008;USA;Griff Furst;Michael Gross/Christopher Atkins/Greg Evigan;II (2008, F/7833/J, BUDAPEST FILM)
101 kiskutya;101 Dalmatians;családi;1996;USA;Stephen Herek;Glenn Close/Joely Richardson/Jeff Daniels;Korhatár nélkülI (1997, INTERCOM, 99 perc) / I (2008, F/7920/J, INTERCOM)
101 kiskutya;One Hundred and One Dalmatians;animáció;1960;USA;Wolfgang Reitherman/Clyde Geronimi/Hamilton S. Luske;;Korhatár nélkül (1984, MOKÉP /Felújítás/, 79 perc)
101 kiskutya - Extra változat;101 Dalmations SE;animáció;1961;USA;Wolfgang Reitherman/Hamilton Luske/Clyde Geronimi;;I (2008, F/6631/A, INTERCOM, 79 perc)
101 kiskutya II. - Paca és Agyar;101 Dalmatians II: Patch's London Adventure;animáció;2002;USA;Jim Kammerud/Brian Smith;;I (F/7677/A)
101 Rejkjavik;101 Reykjavík;filmdráma;2000;Izland;Baltasar Kormákur;Hilmir Snar Gu?nason/Hanna María Karlsdóttir/Victoria Abril;Csak 16 éven felülieknek (2002, BUDAPEST FILM, 88 perc) / III (2005, F/0824/J, BUDAPEST FILM)
102 kiskutya;102 Dalmatians;vígjáték;2000;USA;Kevin Lima;Gérard Depardieu/Alice Evans/Glenn Close;Korhatár nélkül (2001, INTERCOM, 100 perc)
10 dolog, amit utálok benned;10 Things I Hate About You;vígjáték;1998;USA;Gil Junger;Larisa Oleynik/Heath Ledger/Julia Stiles;14 éven aluliaknak nem ajánlott (1999, INTERCOM, 98 perc) / II (F/9776/J, INTERCOM, 97 perc)
10 nap szeptemberben;Quelques jours en septembre;filmdráma;2006;Portugália/Franciaország/Olaszország;Santiago Amigorena;Juliette Binoche/Sara Forestier/Tom Riley;III (2007, F/4995/J) / III (2007, F/4995/J, 112 perc)
10 perc: trombita;Ten Minutes Older: The Trumpet;filmdráma;2002;Spanyolország/Nagy-Britannia/Németország;Werner Herzog/Victor Erice/Jim Jarmusch/Chen Kaige/Spike Lee/Wim Wenders/Aki Kaurismäki;Chloë Sevigny/Ana Sofia Lia?o/Markku Peltola;14 éven aluliaknak nem ajánlott (2003, BUDAPEST FILM, 92 perc)
10th & wolf (Véres utcák);10th & Wolf;thriller;2006;USA;Robert Moresco;James Marsden/Brian Dennehy/Leo Rossi;III (2007, F/4753/J, 107 perc)
11:14;11:14;thriller;2003;USA/Kanada;;Hilary Swank/Rachael Leigh Cook/Colin Hanks;III (2005, F/0924/J, INTERCOM)
11 parancsolat;Les 11 Commandements;vígjáték;2004;Franciaország;François Desagnat;Benjamin Morgaine/Michaël Youn/Vincent Desagnat;III (2005, F/1745/J)
127 óra;127 Hours;filmdráma;2010;USA/Nagy-Britannia;Danny Boyle;James Franco/Amber Tamblyn/Kate Mara;III (2011, F/11146/J, BUDAPEST FILM, 94 perc)
1/2 álom;1/2 álom;filmdráma;1990;Magyarország;Rózsa János;Visy Bernadett/Újvári Csaba/Gazdag Zsolt;14 éven aluliaknak nem ajánlott (1991, BUDAPEST FILM-OBJEKTÍV STÚDIÓ, 86 perc)
12 hónap;Dvenadtsat mesyatsev;filmdráma;1972;Szovjetunió;Anatoli Granik;Nikolai Volkov/Larisa Zhvaniya/Marina Maltseva;I (2007, F/4915/J, Fesztiváliroda, 135 perc)
12 majom;12 Monkeys;akció;1995;USA;Terry Gilliam;Brad Pitt/Madeleine Stowe/Bruce Willis;14 éven aluliaknak nem ajánlott (1996, UIP DUNA FILM KFT., 130 perc) / III (2005, F/1622/J)
12 menet;12 Rounds;akció;2009;USA;Renny Harlin;John Cena/Aidan Gillen/Ashley Scott;III (2009, F/9412/J, INTERCOM, 108 perc)
13 - A gyilkos száma;For Sale by Owner;thriller;2005;USA;Pritesh Chheda;Amanda Brown/John Lansch/Trant Batey;IV (2005, F/8623/J, 90 perc) / IV (F/8623/J)
13. emelet;The Thirteenth Floor;sci-fi;1999;USA/Németország;Josef Rusnak;Armin Mueller-Stahl/Craig Bierko/Gretchen Mol; (1999, F/9080/J, 96 perc) / III (F/9080/J)
13 kísértet;Thir13en ghosts;horror;2001;USA;Steve Beck;Shannon Elizabeth/Matthew Lillard/Tony Shalhoub;III (2007, F/4947/J) / Csak 16 éven felülieknek (2001, INTERCOM, 91 perc)
13 nap;Thirteen Days;háborús;2000;USA;Roger Donaldson;Kevin Costner/Shawn Driscoll/Drake Cook;14 éven aluliaknak nem ajánlott (2001, KINOWELT, 145 perc)
1408;1408;horror;2007;USA;Mikael Hafström;Mary McCormack/Samuel L. Jackson/John Cusack;III (2007, F/6408/J)
1492 - A paradicsom meghódítása;1492: Conquest of Paradise;kaland;1992;USA;Ridley Scott;Gérard Depardieu/Sigourney Weaver/Armand Assante;14 éven aluliaknak nem ajánlott (1992, GUILD, 154 perc)
15 perc hírnév;15 Minutes;thriller;2001;USA;John Herzfeld;Robert De Niro/Edward Burns;Csak 18 éven felülieknek (2001, KINOWELT, 120 perc)
16 utca;16 Blocks;akció;2006;USA;Richard Donner;Bruce Willis/Mos Def/David Morse;III (2006, F/3699/J) / III (2006, F/3699/J, 110 perc)
19;19;filmdráma;2000;Japán;Kazushi Watanabe;Kazushi Watanabe/Takeo Noro/Daijiro Kawaoka;III (2000, F/8538/J, 83 perc)
1922;1922;történelmi - dráma;1981;Görögország;Nikosz Kundurosz;Vaszilisz Kolovosz/Betty Valaszi/Vaszilisz Laggosz;Csak 16 éven felülieknek (1984, MOKÉP, 110 perc)
19:30 fejezetek a híradó történetéből;19:30 Fejezetek a híradó történetéből;dokumentum;2005;Magyarország;Molnár Péter;Pálffi József/Práger György/Bokodi Béla;II (2006, F/2889/D)
1984;1984;filmdráma;1984;Nagy-Britannia;Michael Radford;John Hurt/Suzanna Hamilton/Richard Burton;14 éven aluliaknak nem ajánlott (1993, FLAMEX, 113 perc)
1 és 1/2 lovag - Az elbűvölő Herzelinde hercegnő nyomában;1 und 1/2 Ritter - Auf der Suche nach der hinreißenden Herzelinde;vígjáték;2008;Németország;Torsten Künstler/Christof Wahl/Til Schweiger;Julia Dietze/Til Schweiger/Rick Kavanian;II (2010, F/9973/J, ADS Service Kft.)
2001 Űrodüsszeia;2001: A Space Odyssey;sci-fi;1968;USA/Nagy-Britannia;Stanley Kubrick;Gary Lockwood/Keir Dullea/William Sylvester;II (2002, F/7854/J)
2009 - A végzetes merénylet;2009: Lost Memories;akció;2002;Dél-Korea;Si-myung Lee;Kil-Kang Ahn/Masaaki Daimon/Shôhei Imamura;III (2007, F/6696/J, Cinetel, 130 perc)
200 cigaretta;200 Cigarettes;vígjáték;1999;USA;Risa Bramon Garcia;Casey Affleck/Jennifer Albano/Ben Affleck;III (F/7334/J)
2010-es FIFA Futball Világbajnokság hivatalos filmje;The Official 3D 2010 FIFA World Cup Film;dokumentum;2010;USA;Johnson Mckelvey;;I (2011, F/10907/D, INTERCOM, 64 perc)
2012;2012;katasztrófa;2009;USA/Kanada;Roland Emmerich;Chiwetel Ejiofor/John Cusack/Amanda Peet;III (2010, INTERCOM, 158 perc) / III (2009, F/9612/J, INTERCOM, 158 perc)
2012 - Ha eljő a világvége;2012 Doomsday;katasztrófa;2008;USA;Nick Everhart;Dale Midkiff/Cliff De Young/Ami Dolenz;III (2010, F/10365/J, Klub Publising, 92 perc)
2020: a tűz birodalma;Reign of Fire;akció - fantasy;2002;USA;Rob Bowman;Christian Bale/Matthew McConaughey/Izabella Scorupco;II (2008, F/7015/J, FORUM HOME ENTERTAINMENT HUNGARY KFT., 98 perc) / 14 éven aluliaknak nem ajánlottI (2002, INTERCOM, 101 perc)
20/30/40;20/30/40;romantikus - dráma;2004;Japán/Hong Kong;Sylvia Chang;Sylvia Chang/Rene Liu/Angelica Lee;III (2005, F/0732/J, WARNER HOME VIDEO)
2046;2046;sci-fi;2004;Franciaország/Hong Kong/Kína/Németország;Kar Wai Wong;Tony Leung-Chiu Wai/Takuya Kimura/Li Gong;III (2005, F/1069/J, BUDAPEST FILM, 129 perc)
20 évvel később;20 Years After;filmdráma;2008;USA;Jim Torres;Joshua Leonard/Nathan Baesel/Azura Skye;III (F/9105/J)
21 gramm;21 grams;filmdráma;2003;USA;Alejandro González Inárritu;Sean Penn/Naomi Watts/Benicio Del Toro;Csak 16 éven felülieknek (2004, SPI INTERNATIONAL MO. KFT., 125 perc)
24;24;tévésorozat;2007;USA;több rendező;Manny Coto/Howard Gordon/Evan Katz;III (F/6633/E)
24;24;tévésorozat;2002;USA;Jon Cassar;Dennis Haysbert/Reiko Aylesworth/Kiefer Sutherland;III (2005, F/1079/E, INTERCOM)
24;24;tévésorozat;2008;USA;;Mary Lynn Rajskub/Kiefer Sutherland/Carlos Bernard;III (2010, F/10759/E, 1014 perc)
24;24;tévésorozat;2003;USA;Joel Surnow/Robert Cochran;Dennis Haysbert/Kiefer Sutherland/Sarah Wynter;III (2005, F/2646/E)
24;24;tévésorozat;2007;USA;;Mary Lynn Rajskub/Kiefer Sutherland/Carlos Bernard;III (2010, F/10330/E, INTERCOM, 1008 perc)
24;24;tévésorozat;2005;USA;Joel Surnow/Robert Cochran;Kiefer Sutherland/Carlos Bernard/William Devane;III (2006, F/3501/J)
24;24;tévésorozat;2006;USA;több rendező;Mary Lynn Rajskub/Kiefer Sutherland/Kim Raver;III (2007, F/4610/E)
24. napon;24th day;thriller;2004;USA;Tony Piccirillo;James Marsden/Scott Speedman/Sofía Vergara;III (2005, F/2093/J)
24: Redemption;24: Redemption;akció;2008;USA;Jon Cassar;Bob Gunton/Cherry Jones/Kiefer Sutherland;III (2010, F/10368/J, INTERCOM, 102 perc)
25 millió fontos váltságdíj;North Sea Hijack;thriller;1979;Nagy-Britannia;Andrew V. McLaglen;Anthony Perkins/Roger Moore/James Mason;Korhatár nélkül (1981, MOKÉP, 102 perc)
27 idegen igen;27 Dresses;vígjáték;2008;USA;Anne Fletcher;Brian Kerwin/Peyton List/Charli Barcena;II (2008, F/6911/J, 107 perc) /  (2008, F/6911/J, 107 perc)
28 héttel később;28 Weeks Later;horror;2007;Spanyolország/Nagy-Britannia;Juan Carlos Fresnadillo;Catherine McCormack/Robert Carlyle/Emily Beecham;IV (2007, F/5236/J) / IV (2007, F/5236/J, 101 perc)
28 nap;28 Days;filmdráma;2000;USA;Betty Thomas;Viggo Mortensen/Sandra Bullock/Diane Ladd;14 éven aluliaknak nem ajánlott (2000, INTERCOM, 108 perc)
28 nappal később;28 Days Later...;horror - sci-fi;2002;USA;Danny Boyle;Bindu De Stoppani/Alex Palmer/Jukka Hiltunen;III (2006, F/3024/J) / Csak 16 éven felülieknek (2003, INTERCOM, 113 perc)
29-es vágány;Track 29;filmdráma;1988;Nagy-Britannia;Nicolas Roeg;Gary Oldman/Sandra Bernhard/Theresa Russell;14 éven aluliaknak nem ajánlott (1989, BUDAPEST FILM, 91 perc)
2 nap Párizsban;2 Days in Paris;vígjáték;2007;Franciaország/Németország;Julie Delpy;Julie Delpy/Adam Goldberg/Daniel Brühl;III (2008, F/6852/J, BUDAPEST FILM, 96 perc) /  (2008, F/6852/J, 96 perc)
300;300;akció;2006;USA;Zack Snyder;Dominic West/Lena Headey/Gerard Butler;III (2007, F/4923/J, 117 perc) / III (2007, F/4923/J)
30 nap éjszaka - sötét napok;30 Days of Nights Dark Days;horror;2010;USA;Ben Ketai;Rhys Coiro/Kiele Sanchez/Diora Baird;IV (2010, F/10632/J, INTERCOM, 88 perc)
31. kilometer;KM 31: Kilometro 31;horror;2006;Spanyolország/Mexikó;Rigoberto Castaneda;Iliana Fox/Raúl Méndez/Adria Collado;IV (F/7516/J)
31. Mátrai Hegyiverseny;31. Mátrai Hegyiverseny;sport;;;;;III (F/6234/D, 54 perc)
36 - Harminchat;36 Quai des Orfevres;bűnügyi;2004;Franciaország;Olivier Marchal;Daniel Auteuil/André Dussollier/Gérard Depardieu;III (2005, F/1243/J) / III (2005, F/1243/J, 110 perc)
36 óra a halálig;36 hours to die;thriller;1999;Kanada/USA;Yves Simoneau;Carroll O'Connor/Treat Williams/Kim Cattrall;III (2005, F/1910/J)
39. lépcsőfok;The 39 Steps;bűnügyi;1935;Nagy-Britannia;Alfred Hitchcock;Lucie Mannheim/Robert Donat/Madeleine Carroll;14 éven aluliaknak nem ajánlott (1985, MOKÉP, 104 perc) / II (2004, F/0587/J, CINETEL KFT.)
3 Esküvő;3 Esküvő;dokumentum;2009;Magyarország;Kis Anna/Trencsényi Klára/Nagy Viktor Oszkár;;II (F/9739/D, 75 perc)
4;4;filmdráma;2004;Oroszország;Ilja Krzsanovszkij;Mariia Vovcsenko/Szvetlana Vovcsenko/Irina Vovcsenko;III (2007, F/4597/J, 126 perc)
40 éves szűz;40 year old virgin;romantikus - vígjáték;2005;USA;Judd Apatow;Steve Carell/Catherine Keener/Elizabeth Banks;III (2005, F/2469/J, UIP DUNA FILM KFT., 116 perc)
40 nap és 40 éjszaka;40 Days and 40 Nights;romantikus - vígjáték;2002;USA;Michael Lehmann;Paulo Costanzo/Josh Hartnett/Shannyn Sossamon;Csak 16 éven felülieknek (2002, UIP DUNA FILM KFT., 96 perc) / III (2007, F/4974/J)
4400;The 4400;tévésorozat;2006;USA;;Jacqueline McKenzie/Patrick John Flueger/Joel Gretsch;III (2010, F/10093/E, INTERCOM)
4400;The 4400 ;tévésorozat;2007;USA;;Patrick John Flueger/Jacqueline McKenzie/Joel Gretsch;III (2010, F/10555/E, 	INTERCOM, 538 perc)
4400;The 4400;tévésorozat;2004;USA;;Joel Gretsch/Patrick John Flueger/Jacqueline McKenzie;III (2010, F/9770/E, INTERCOM)
4400;The 4400;tévésorozat;2005;USA;;Jacqueline McKenzie/Patrick John Flueger/Joel Gretsch;III (2010, F/9779/E, 	 INTERCOM, 534 perc)
451 fahrenheit;Fahrenheit 451;sci-fi;1966;Nagy-Britannia;François Truffaut;Cyril Cusack/Oskar Werner/Julie Christie;Korhatár nélkülII (2008, 113 perc) / Korhatár nélkül (1966)
48 angyal;48 Angels;filmdráma;2006;Írország;Marion Comer;Shane Brolly/Ciaran Flynn/John Travers;II (F/8905/J)
48 óra;48 Hrs;bűnügyi;1982;USA;Walter Hill;Anette O'Toole/Nick Nolte/Eddie Murphy;14 éven aluliaknak nem ajánlott (1987, MOKÉP, 98 perc)
4 évszak kis falumban;Les 4 saisons d'Espigoule;dokumentum;1999;Franciaország;Christian Philibert;;II (2006, F/3220/D) / II (2006, F/3220/D, 97 perc)
4 hónap, 3 hét, 2 nap;4 luni, 3 saptamâni si 2 zile;filmdráma;2007;Románia;Cristian Mungiu;Laura Vasiliu/Anamaria Marinca/Vlad Ivanov;III (2008, F/6048/J, CIRKO FILM-MÁSKÉPP ALAPÍTVÁNY) / Csak 16 éven felülieknek (2007, 113 perc)
500 nap nyár;500 Days of Summer;vígjáték;2009;USA;Marc Webb;Zooey Deschanel/Joseph Gordon-Levitt/Geoffrey Arend;II (2010, F/9961/J, INTERCOM, 95 perc)
51-es bolygo;Planet 51;animáció;2009;Spanyolország/USA/Nagy-Britannia;Jorge Blanco/Javier Abad/Marcos Martínez;;II (2010, F/9660/A, Intersonic, 91 perc)
52-es történet;Istoria 52;filmdráma;2008;Görögország;Alexis Alexiou;Dafni Labroyanni/Serafita Grigoriadou/Yorgos Kakanakis;III (2010, F/10196/J, Anjou Lafayette, 97 perc)
'53 hideg nyara;Holodnoje leto 53 goda;filmdráma;1987;Szovjetunió;Alekszandr Proskin;Valerij Prijemnyikov/Anatolij Papanov/Viktor Sztyepanov;14 éven aluliaknak nem ajánlott (1988, MOKÉP, 103 perc)
54;54;filmdráma;1998;USA;Mark Christopher;Ryan Phillippe/Salma Hayek/Neve Campbell;Csak 16 éven felülieknekI (1999, UIP DUNA FILM KFT., 97 perc) / III (F/6498/J)
55 nap pekingben;55 Days at Peking;háborús;1963;USA;Nicholas Ray;Ava Gardner/Charlton Heston/David Niven;II (2007, F/5038/J)
56 csepp vér;56 csepp vér;zenés;2007;Magyarország;Bokor Attila;Kaszás Attila/Palcsó Tamás/Alföldi Róbert;II (2007, F/4900/J, 90 perc)
56 villanás;56 villanás;történelmi - dráma;2007;Magyarország;András Sólyom;Iván Dengyel/Attila Menszátor-Héresz/András Bálint;II (2007, F/8007/J, MTV, 52 perc) / II (2008, F/8007/J, MOKÉP, 50 perc)
5 ninja elem;Ren zhe wu di;akció;1982;Hong Kong;Cheh Chang;Tien-chi Cheng/Meng Lo/Tien Hsiang Lung;III (2008, F/9017/J, 107 perc)
5 óra 40;5 óra 40;filmdráma;1939;Magyarország;Tóth Endre;Makay Margit/Hajmássy Miklós/Tasnády-Fekete Mária;II (2006, F/3504/J, 78 perc)
5x2;5x2;filmdráma;2004;Franciaország;François Ozon;Géraldine Pailhas/Stéphane Freiss/Valeria Bruni Tedeschi;III (2005, F/1255/J, 90 perc)
6:3, avagy játszd újra tutti;6:3, avagy játszd újra Tutti;vígjáték;1998;Magyarország;Tímár Péter;Eperjes Károly/Cseh Tamás/Szalay Kriszta;II (2006, F/3432/J) / Korhatár nélkül (1998, BUDAPEST FILM, 92 perc)
666: a szörnyeteg;666: The Beast;horror;2007;USA;Nick Everhart;Chad Mathews/Makinna Ridgway/Alma Saraci;IV (2008, F/7830/J, BUDAPEST FILM, 84 perc)
6-os játszma;Game 6;filmdráma;2005;USA;Michael Hoffman;Catherine O'Hara/Michael Keaton/Griffin Dunne;II (2006, F/3948/J, 87 perc) / II (2006, F/3948/J)
7etven5;7eventy 5ive;horror;2007;USA;Deon Taylor/Brian Hooks;Brian Hooks/Jud Tylor/Cherie Johnson;IV (2007, F/6835/J, 94 perc)
7 másodperc;7 seconds;akció;2005;Nagy-Britannia;Simon Fellows;Wesley Snipes/Tamzin Outhwaite/Elias Ferkin;III (2005, F/1994/J)
7 törpe;7 Zwerge;vígjáték;2004;Németország;Sven Unterwaldt Jr.;Mirco Nontschew/Heinz Hoenig/Otto Waalkes;II (2005, F/2680/J)
80 nap alatt a Föld körül;Around the World in 80 Days;kaland;2004;USA;Frank Coraci;Steve Coogan/Robert Fyfe/Jackie Chan;I (2005, F/0515/J) / I (2004, F/0515/J, SPI INTERNATIONAL MO. KFT., 120 perc)
80 nap alatt a föld körül - Michael Palinnel;Michael Palin: Around the World in 80 Days;dokumentum;1989;Nagy-Britannia;Roger Mills/Clem Vallance;Michael Palin;I (2005, F/2688/E)
88 perc;88 Minutes;thriller;2007;USA/Kanada/Németország;Jon Avnet;Alicia Witt/Leelee Sobieski/Al Pacino;III (F/6777/J, SPI International Kft.)
8 és 1/2;Otto e mezzo;filmdráma;1963;Olaszország;Federico Fellini;Claudia Cardinale/Marcello Mastroianni/Anouk Aimée;II (2005, F/1530/J)
8 és fél nő;8 1/2 Women;vígjáték;1999;Belgium/Nagy-Britannia/Hollandia/Németország;Peter Greenaway;Vivian Wu/Matthew Delamere/John Standing;Csak 18 éven felülieknek (2000, MOKÉP, 118 perc)
8 mérföld;8 Mile;életrajzi;2002;USA;Curtis Hanson;Kim Basinger/Mekhi Phifer/Eminem;III (2008, F/7652/J) / 14 éven aluliaknak nem ajánlottI (2003, UIP DUNA FILM KFT., 110 perc)
8 milliméter;8MM;thriller;1999;USA/Németország;Joel Schumacher;Nicolas Cage/James Gandolfini/Joaquin Phoenix;IV (1999, INTERCOM) / IV (F/6626/J)
8 mm;8mm;bűnügyi;1998;USA;Joel Schumacher;Joaquin Phoenix/Nicolas Cage/Peter Stormare;Csak 16 éven felülieknek (1999, INTERCOM, 126 perc)
8 mm 2;8MM 2;thriller;2005;USA;J. S. Cardone;Johnathon Schaech/Bruce Davison/Lori Heuring;IV (2006, F/2808/J)
8 nő;8 femmes;bűnügyi - vígjáték;2002;Franciaország;François Ozon;Danielle Darrieux/Catherine Deneuve/Isabelle Huppert;Csak 16 éven felülieknek (2002, BUDAPEST FILM, 103 perc) / II (2005, F/1758/J)
9;„9”;;;;;;II (F/9992/A)
90 nap;90 Days;vígjáték;1985;Kanada;Giles Walker;Christine Pak/Sam Grana/Stefan Wodoslawsky;14 éven aluliaknak nem ajánlott (1987, MOKÉP, 100 perc)
9-es terv az űrből;Plan 9 from outer Space;horror - sci-fi;1959;USA;Edward D. Wood Jr.;Duke Moore/Mona McKinnon/Gregory Walcott;II (2009, F/9606/J, Fórum Home Entertainment, 79 perc)
9 és 1/2 hét;9 1/2 Weeks;filmdráma;1985;USA;Adrian Lyne;Kim Basinger/Mickey Rourke/Margaret Whitton;Csak 16 éven felülieknek (1990, MOKÉP, 117 perc) / IV (2006, F/3236/J)
9 és 1/2 randi;9 és 1/2 randi;vígjáték;2008;Magyarország;Sas Tamás;Fenyő Iván/Hevér Gábor/Kovács Patrícia;II (2008, F/6820/J, BUDAPEST FILM, 100 perc) /  (2008, F/6820/J, BUDAPEST FILM, 100 perc)
A 109. utas;Passengers;thriller;2008;USA/Kanada;Rodrigo García;David Morse/Patrick Wilson/Anne Hathaway;III (2009, F/8948/J, Fórum Home Entertainment, 88 perc)
A 10-es különítmény;Force 10 from Navarone;akció;1978;Nagy-Britannia;Guy Hamilton;Robert Shaw/Harrison Ford/Barbara Bach;III (2005, F/1955/J)
A 13-as;13;thriller;2010;USA;Géla Babluani;Emmanuelle Chriqui/Jason Statham/Mickey Rourke;III (2010, F/10739/J, ProVideo, 93 perc)
A 13-as;13 Tzameti;thriller;2005;Grúzia/Franciaország;Géla Babluani;George Babluani/Pascal Bongard/Aurélien Recoing;III (2007, F/4762/J, 86 perc)
A 13-as rendőrörs;Assault on Precinct 13;akció;2005;Franciaország/USA;Jean-François Richet;Maria Bello/Ja Rule/Peter Bryant;III (2005, F/2002/J)
A 13. harcos;The 13th Varrior;sci-fi;1998;USA;John McTiernan;Antonio Banderas/Omar Sharif/Vladimir Kulich;14 éven aluliaknak nem ajánlott (1999, BEST HOLLYWOOD KFT., 102 perc) / III (2004, F/0133/J, BEST HOLLYWOOD KFT.)
A 13. rendőrőrs ostroma;Assault on precinct 13;akció;1976;USA;John Carpenter;Austin Stoker/Darwin Joston/Laurie Zimmer;III (2005, F/2017/J)
A 18 éves szűz;18 Year Old Virgin;vígjáték;2009;USA;Tamara Olson;Olivia Alaina May/Lauren Walsh/Todd Leigh;III (2009, F/9143/J, ADS Service Kft.)
A 222-es járat;Reys 222;társadalmi dráma;1986;Szovjetunió;Szergej Mikaeljan;Larisza Poljakova/Alekszandr Kolesznyikov/Nyikolaj Kocsnev;Korhatár nélkül (1987, MOKÉP, 122 perc)
A 22-es csapdája;Catch-22;vígjáték;1970;;Mike Nichols;Martin Balsam/Richard Benjamin/Art Garfunkel/Alan Arkin/Jack Gilford; (122 perc)
A 23-as szám;The Number 23;thriller;2007;USA;Joel Schumacher;Jim Carrey/Virginia Madsen/Logan Lerman;III (2007, F/5045/J, 98 perc) / III (2007, F/5045/J)
A 34-es gyors;Tridcaty csetvjortij szkorij;katasztrófa;1981;Szovjetunió;Andrej Maljukov;Lev Durov/Jelena Majorova/Algimantasz Maszjulisz;Korhatár nélkül (1983, MOKÉP, 106 perc)
A 3.számú űrbázis;Saturn 3.;sci-fi;1980;Nagy-Britannia;Stanley Donen;Kirk Douglas/Harvey Keitel/Farrah Fawcett;Csak 16 éven felülieknek (1981, MOKÉP, 90 perc)
A 401-es szoba titka;La disparue de Deauville;bűnügyi;2007;Franciaország;Sophie Marceau;Sophie Marceau/Nicolas Briançon/Christopher Lambert;II (2009, F/9666/J, 	 BEST Hollywood, 103 perc)
A 6. napon;The 6th Day;sci-fi;2000;USA;Roger Spottiswoode;Robert Duvall/Michael Rapaport/Arnold Schwarzenegger;Csak 16 éven felülieknek (2000, INTERCOM, 123 perc) / III (2007, 6872/J)
A 7 törpe visszatér, avagy az erdő nem elég;7 Zwerge - Der Wald ist nicht genug;vígjáték;2006;Németország;Sven Unterwaldt Jr.;Nina Hagen/Cosma Shiva Hagen/Heinz Hoenig;II (2007, F/5504/J, ADS Service Kft., 95 perc)
A 884-es járat;Flugnummer 884;dokumentum;2004;Ausztria;Wolfgang Widerhofer;;II (F/10131/D)
A 99-es alakulat;The Tuskegee Airmen;filmdráma;1995;USA;Robert Markowitz;Laurence Fishburne/Malcolm-Jamal Warner/Allen Payne; (1995, F/6974/J, 110 perc) / II (F/6974/J)
Aaltra;Aaltra;vígjáték;2004;Belgium/Franciaország;Benoît Delépine/Gustave de Kervern;Gustave de Kervern/Jan Bucquoy/Benoît Delépine;II (2005, F/2474/J) / II (2005, F/2474/J, 92 perc)
A Baader Meinhof csoport;Der Baader Meinhof Komplex;akció;2008;Franciaország/Csehország/Németország;Uli Edel;Moritz Bleibtreu/Johanna Wokalek/Martina Gedeck;III (2009, F/8677/J, SPI International Kft., 149 perc) / III (2009, F/8677/J, SPI International Kft.)
A bagdadi tolvaj;The Thief of Bagdad;mese;1940;Nagy-Britannia/USA;Ludwig Berger;Rex Ingram/Conrad Veidt/Sabu;II (2005, F/1970/J)
A bajhozó;La scoumoune;bűnügyi;1972;Olaszország/Franciaország;José Giovanni;Jean-Paul Belmondo/Claudia Cardinale/Michel Constantin; (1972, F/8846/J, 101 perc) / III (2009, F/8846/J, 101 perc)
A bajusz;La moustache;filmdráma;2005;Franciaország;Emmanuel Carrére;Mathieu Amalric/Vincent Lindon/Emmanuelle Devos;II (2006, F/3345/J, 86 perc)
A bakancslista;The Bucket List;vígjáték;2007;USA;Rob Reiner;Morgan Freeman/Sean Hayes/Jack Nicholson;II (2008, F/6780/J, INTERCOM, 97 perc) / II (2008, F/6780/J, 97 perc)
A balkezes ezermester;Levsa;mese;1986;Szovjetunió;Szergej Ovcsarov;Leonyid Kuravljov/Vlagyimir Gosztyuhin/Nyikolaj Sztockij;Korhatár nélkül (1988, MOKÉP, 94 perc)
A bal lábam;My Left Foot: The Story of Christy Brown;életrajzi;1989;Írország/Nagy-Britannia;Jim Sheridan;Alison Whelan/Daniel Day-Lewis/Brenda Fricker;II (1991) / II (2007, F/6952/J, Klub Publising, 98 perc)
A bal lábam;My Left Foot;életrajzi;1989;Írország/Nagy-Britannia;Jim Sheridan;Daniel Day-Lewis/Brenda Fricker/Ray MacAnally;14 éven aluliaknak nem ajánlott (1991, HUNGAROFILM, 102 perc)
A balta;Hatchet;horror - vígjáték;2006;USA;Adam Green;Joel Moore/Deon Richmond/Tamara Feldman;IV (2008, F/7406/J, 84 perc)
A baltás ember;Parashuram;társadalmi dráma;1978;India;Mrinal Sen;Arum Mukherjee/Nirmal Ghosh/Bisvas Chakraborty;14 éven aluliaknak nem ajánlott (1988, MOKÉP, 98 perc)
A bambanő;Never Been Kissed;vígjáték;1998;USA;Raja Gosnell;Molly Shannon/David Arquette/Drew Barrymore;14 éven aluliaknak nem ajánlott (1999, INTERCOM, 108 perc)
A bambanő;Never Been Kissed;vígjáték;1999;USA;Raja Gosnell;Michael Vartan/Drew Barrymore/David Arquette;II (2006, F/3688/J, INTERCOM, 103 perc)
A banda fogságában;Licsnoj bezopasznosztyi nye garantyiruju;háborús;1980;Szovjetunió;Anatolij Vehetko;Natalja Brazsnyikova/Szemjon Morozov/Ivar Kalniny;Korhatár nélkül (1983, MOKÉP, 93 perc)
