Cím;Eredeti cím;Műfaj;Készítés éve;Gyártó országok;Rendező;Szereplők;Magyar korhatárbesorolások
Csillagközi Romboló ;Battlestar Galactica;tévésorozat;2004;USA/Nagy-Britannia;;Mary McDonnell/Edward James Olmos/Jamie Bamber;II (2008, F/6074/E, SELECT '86, 545 perc)
Csillagközi romboló A terv;Battlestar Galactica The Plan;akció;2009;USA;Edward James Olmos;Dean Stockwell/Michael Trucco/Edward James Olmos;III (2010, F/10484/J)
Csillagközi Romboló: Penge;Battlestar Galactica: Razor;sci-fi;2007;USA;Félix Enríquez Alcalá;Mary McDonnell/Katee Sackhoff/Edward James Olmos;III (2009, F/8820/J, Universal, 104 perc)
Csillagok háborúja;Star Wars;sci-fi;1977;USA;George Lucas;Harrison Ford/Carrie Fisher/Mark Hamill;Korhatár nélkül (1997, INTERCOM, 124 perc) / Korhatár nélkül (1979)
Csillagok háborúja trilógia;Star wars;sci-fi;1977;USA;George Lucas;Carrie Fisher/Mark Hamill/Harrison Ford;II (2004, F/0175/J, INTERCOM)
Csillagom, halálom;Zvezda i Szmertyi Hoakina Murjeti;zenés;1982;Szovjetunió;Vlagyimir Grammatyikov;Andrej Haritonov/Alena Beljak/Alekszandr Filippenko;14 éven aluliaknak nem ajánlott (1984, MOKÉP, 112 perc)
Csillagos ötös;Petka S Hvezdickou;ifjúsági;1985;Csehszlovákia;Balajka Miroslav;Bilek Jan/Hartl Jan/Blaskovic Dusan;Korhatár nélkül (1992, MOKÉP, 77 perc)
Csillagot az égből;Unhook The Stars;filmdráma;1996;USA;Nick Cassavetes;Gena Rowlands/Marisa Tomei/Gérard Depardieu;14 éven aluliaknak nem ajánlott (1998, MAGYAR FILMINTÉZET, 104 perc)
Csillagpor;Stardust;kaland;2007;USA/Nagy-Britannia;Matthew Vaughn;Robert De Niro/Claire Danes/Michelle Pfeiffer/Sienna Miller/Charlie Cox;II (2007, UIP-Duna Film, 130 perc) / II (2008, F/6052/J, INTERCOM, 130 perc)
Csillagporos emlékek;Stardust Memories;vígjáték;1980;USA;Woody Allen;Jessica Harper/Charlotte Rampling/Woody Allen;II (2008, F/7457/J, INTERCOM, 85 perc)
Csillag születik;A Star Is Born;zenés;1976;USA;Frank Pierson;Barbra Streisand/Gary Busey/Kris Kristofferson;II (F/3466/J)
Csillogás;Csillogás;dokumentum;2008;Magyarország;Fliegauf Benedek;;II (2008, F/8411/D, MOKÉP, 60 perc)
Csimpilóták;Space Chimps;animáció;2008;USA;Kirk De Micco;Andy Samberg/Cheryl Hines/Patrick Warburton;I (2009, F/8724/A, Fórum Home Entertainment)
Csingiling;Tinker Bell;animáció;2008;USA;Bradley Raymond;Kristin Chenoweth/Lucy Liu/Mae Whitman;I (2008, F/8095/A, INTERCOM, 78 perc)
Csingiling és a nagy tündérmentés;Tinker Bell and the Great Fairy Rescue;animáció;2010;USA;Bradley Raymond;Mae Whitman/Michael Sheen/Kristin Chenoweth;I (2010, F/10398/A, Fórum Hungary, 80 perc)
Csingiling és az elveszett kincs;Tinker Bell and the Lost Treasure;animáció;2009;USA;Klay Hall;Kristin Chenoweth/Mae Whitman/Lucy Liu;I (2009, F/9523/A, INTERCOM, 81 perc)
Csinibaba;Csinibaba;zenés;1997;Magyarország;Tímár Péter;Reviczky Gábor/Andorai Péter/Gálvölgyi János;Korhatár nélkül (1997, BUDAPEST FILM, 100 perc)
Csip-csup csodák;Supun obâsan;animáció;1983;Japán;Tatsuo Hayakawa;;I (2008, F/8117/A, SELECT '86, 60 perc)
Csipet csapat - Cseberből vederbe;Chip and Dale - Here comes trouble;animáció;1998;USA;több rendező;;I (2005, F/1097/A, INTERCOM)
Csipet csapat - Nagy fába kis fejszét;Chip and Dale - Trouble in tree;animáció;1998;USA;több rendező;;I (2005, F/1098/A, INTERCOM)
